raw,clean_text,clean_token
"I visited once with the family and it's worse the trip. It's a short drive right after Phuket Town. Please do not wear singlet, shorts that are above knee and buy encens stick to pray for whatever you wish to you and your loved ones. Very nice coving and statues of various","i visited once with the family and it has worse the trip. it is a short drive right after phuket town. please do not wear singlet, shorts that are above knee and buy encens stick to pray for whatever you wish to you and your loved ones. very nice coving and statues of various","['i', 'visited', 'once', 'with', 'the', 'family', 'and', 'it', 'has', 'worse', 'the', 'trip', '.', 'it', 'is', 'a', 'short', 'drive', 'right', 'after', 'phuket', 'town', '.', 'please', 'do', 'not', 'wear', 'singlet', ',', 'shorts', 'that', 'are', 'above', 'knee', 'and', 'buy', 'encens', 'stick', 'to', 'pray', 'for', 'whatever', 'you', 'wish', 'to', 'you', 'and', 'your', 'loved', 'ones', '.', 'very', 'nice', 'coving', 'and', 'statues', 'of', 'various']"
Went to Wat Chalong with little to no expectation but was pleasantly surprised. Was in awe of the magnificent structures. Even witnessed some people worshipping. Have to be respectful of others in the temples and avoid taking pictures of people worshipping and to dress,went to wat chalong with little to no expectation but was pleasantly surprised. was in awe of the magnificent structures. even witnessed some people worshipping. have to be respectful of others in the temples and avoid taking pictures of people worshipping and to dress,"['went', 'to', 'wat', 'chalong', 'with', 'little', 'to', 'no', 'expectation', 'but', 'was', 'pleasantly', 'surprised', '.', 'was', 'in', 'awe', 'of', 'the', 'magnificent', 'structures', '.', 'even', 'witnessed', 'some', 'people', 'worshipping', '.', 'have', 'to', 'be', 'respectful', 'of', 'others', 'in', 'the', 'temples', 'and', 'avoid', 'taking', 'pictures', 'of', 'people', 'worshipping', 'and', 'to', 'dress']"
"Rushing for time during our visit here as our tour schedule was a little bit off track.  We could only spend about 30 minutes at this location before departing to the next attraction site. Anyway, a nice place with a few stunning and amazing temples we have seen so far. ","rushing for time during our visit here as our tour schedule was a little bit off track. we could only spend about minutes at this location before departing to the next attraction site. anyway, a nice place with a few stunning and amazing temples we have seen so far.","['rushing', 'for', 'time', 'during', 'our', 'visit', 'here', 'as', 'our', 'tour', 'schedule', 'was', 'a', 'little', 'bit', 'off', 'track', '.', 'we', 'could', 'only', 'spend', 'about', 'minutes', 'at', 'this', 'location', 'before', 'departing', 'to', 'the', 'next', 'attraction', 'site', '.', 'anyway', ',', 'a', 'nice', 'place', 'with', 'a', 'few', 'stunning', 'and', 'amazing', 'temples', 'we', 'have', 'seen', 'so', 'far', '.']"
"Beautiful temple, captures the peacefulness of the people. Amazing to walk up-down and around with photos to be takes at every-corner. The silence is broken by crackers being let off in thanks. Rather quiet and easy to get around. There is a little market on the side with good","beautiful temple, captures the peacefulness of the people. amazing to walk up- down and around with photos to be takes at every- corner. the silence is broken by crackers being let off in thanks. rather quiet and easy to get around. there is a little market on the side with good","['beautiful', 'temple', ',', 'captures', 'the', 'peacefulness', 'of', 'the', 'people', '.', 'amazing', 'to', 'walk', 'up', '-', 'down', 'and', 'around', 'with', 'photos', 'to', 'be', 'takes', 'at', 'every', '-', 'corner', '.', 'the', 'silence', 'is', 'broken', 'by', 'crackers', 'being', 'let', 'off', 'in', 'thanks', '.', 'rather', 'quiet', 'and', 'easy', 'to', 'get', 'around', '.', 'there', 'is', 'a', 'little', 'market', 'on', 'the', 'side', 'with', 'good']"
"Sometimes Thailand and Phuket can get a bit to much with crowds, tourists, touts etc, places like Wat Chalong are a beautiful sanctuary (even on a crowded day). The buildings are beautiful and so well adorned. There is no entrance fee and modest attire is recommended","sometimes thailand and phuket can get a bit to much with crowds, tourists, touts etc, places like wat chalong are a beautiful sanctuary even on a crowded day. the buildings are beautiful and so well adorned. there is no entrance fee and modest attire is recommended","['sometimes', 'thailand', 'and', 'phuket', 'can', 'get', 'a', 'bit', 'to', 'much', 'with', 'crowds', ',', 'tourists', ',', 'touts', 'etc', ',', 'places', 'like', 'wat', 'chalong', 'are', 'a', 'beautiful', 'sanctuary', 'even', 'on', 'a', 'crowded', 'day', '.', 'the', 'buildings', 'are', 'beautiful', 'and', 'so', 'well', 'adorned', '.', 'there', 'is', 'no', 'entrance', 'fee', 'and', 'modest', 'attire', 'is', 'recommended']"
"Awesome to see but highlights the difference between the ""haves"" and the ""have-nots"" in Thailand.  Feels a bit like a business",awesome to see but highlights the difference between the haves and the have- nots in thailand. feels a bit like a business,"['awesome', 'to', 'see', 'but', 'highlights', 'the', 'difference', 'between', 'the', 'haves', 'and', 'the', 'have', '-', 'nots', 'in', 'thailand', '.', 'feels', 'a', 'bit', 'like', 'a', 'business']"
"Nice gardens, free entry. We arrived late so didn’t go into many of the temples. Had a lovely wander around the gardens. Decent toilets on site and somewhere to get a cold drink! Shade in places, which is lovely when the heat really kicks in.","nice gardens, free entry. we arrived late so did not go into many of the temples. had a lovely wander around the gardens. decent toilets on site and somewhere to get a cold drink shade in places, which is lovely when the heat really kicks in.","['nice', 'gardens', ',', 'free', 'entry', '.', 'we', 'arrived', 'late', 'so', 'did', 'not', 'go', 'into', 'many', 'of', 'the', 'temples', '.', 'had', 'a', 'lovely', 'wander', 'around', 'the', 'gardens', '.', 'decent', 'toilets', 'on', 'site', 'and', 'somewhere', 'to', 'get', 'a', 'cold', 'drink', 'shade', 'in', 'places', ',', 'which', 'is', 'lovely', 'when', 'the', 'heat', 'really', 'kicks', 'in', '.']"
"Big temple , huge bhduda images in the great area.  it is special and beautiful temple in Phuket.   The guide was helpful and knowledgeable.","big temple, huge bhduda images in the great area. it is special and beautiful temple in phuket. the guide was helpful and knowledgeable.","['big', 'temple', ',', 'huge', 'bhduda', 'images', 'in', 'the', 'great', 'area', '.', 'it', 'is', 'special', 'and', 'beautiful', 'temple', 'in', 'phuket', '.', 'the', 'guide', 'was', 'helpful', 'and', 'knowledgeable', '.']"
"Beautiful interiors to the temples. Loads going on around i.e. food, drink, market stands etc too. Lovely gardens and informative boards on display.","beautiful interiors to the temples. loads going on around i. e.  food, drink, market stands etc too. lovely gardens and informative boards on display.","['beautiful', 'interiors', 'to', 'the', 'temples', '.', 'loads', 'going', 'on', 'around', 'i. e. ', 'food', ',', 'drink', ',', 'market', 'stands', 'etc', 'too', '.', 'lovely', 'gardens', 'and', 'informative', 'boards', 'on', 'display', '.']"
"There are multiple buildings/temples within the compound area. The main temple is located towards the end. This has multiple floors. Shape of the buildings is quite intriguing. You can see people offering there prayers. You too can do that.There are a lot of shops in the vicinity. We visited during the day time and there were multiple instances when crackers were burnt. While passing this temple, in the evening, it looked more beautiful with all the lights in place. But at the same time it was more crowded as well.Although there is a parking lot nearby, but we were charged 60 THB for the same whereas the slip said 20 THB.","there are multiple buildings temples within the compound area. the main temple is located towards the end. this has multiple floors. shape of the buildings is quite intriguing. you can see people offering there prayers. you too can do that. there are a lot of shops in the vicinity. we visited during the day time and there were multiple instances when crackers were burnt. while passing this temple, in the evening, it looked more beautiful with all the lights in place. but at the same time it was more crowded as well. although there is a parking lot nearby, but we were charged thb for the same whereas the slip said thb.","['there', 'are', 'multiple', 'buildings', 'temples', 'within', 'the', 'compound', 'area', '.', 'the', 'main', 'temple', 'is', 'located', 'towards', 'the', 'end', '.', 'this', 'has', 'multiple', 'floors', '.', 'shape', 'of', 'the', 'buildings', 'is', 'quite', 'intriguing', '.', 'you', 'can', 'see', 'people', 'offering', 'there', 'prayers', '.', 'you', 'too', 'can', 'do', 'that. there', 'are', 'a', 'lot', 'of', 'shops', 'in', 'the', 'vicinity', '.', 'we', 'visited', 'during', 'the', 'day', 'time', 'and', 'there', 'were', 'multiple', 'instances', 'when', 'crackers', 'were', 'burnt', '.', 'while', 'passing', 'this', 'temple', ',', 'in', 'the', 'evening', ',', 'it', 'looked', 'more', 'beautiful', 'with', 'all', 'the', 'lights', 'in', 'place', '.', 'but', 'at', 'the', 'same', 'time', 'it', 'was', 'more', 'crowded', 'as', 'well. although', 'there', 'is', 'a', 'parking', 'lot', 'nearby', ',', 'but', 'we', 'were', 'charged', 'thb', 'for', 'the', 'same', 'whereas', 'the', 'slip', 'said', 'thb', '.']"
